id,title,description,link,image_link,availability,price,brand,gtin,identifier_exists,condition,google_product_category,product_type,age_group,gender,color,material,shipping_weight
KT02,Remember Basket bag 'Pale blue' - Colourful German Design,"Soft pale blue meets bold German design in this charming basket bag from Remember. A versatile companion for market runs, beach days, or simply adding a pop of colour to your daily routine.",https://www.homeandverse.co.uk/?product=KT02,https://cdn.appdmbrands.com/products/KT02.jpg,in_stock,39.95 GBP,Remember,4260608096010,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Gifts > Home Décor,adult,unisex,Blue,,0.3 kg
HA210,Remember Bath towel 'Algarve' - Colourful German Design,Wrap yourself in the vibrant spirit of Portugal with this Algarve-inspired bath towel from Remember. Bold patterns and plush quality transform your bathroom into a joyful retreat.,https://www.homeandverse.co.uk/?product=HA210,https://cdn.appdmbrands.com/products/HA210.jpg,in_stock,49.95 GBP,Remember,4260479650939,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Home Décor,adult,unisex,Red,,0.3 kg
HA220,Remember Bath towel 'Lagos' - Colourful German Design,"Inspired by the sun-drenched Portuguese coast, this Lagos bath towel brings Remember's signature bold colour to your daily routine. Plush, absorbent, and unmistakably cheerful.",https://www.homeandverse.co.uk/?product=HA220,https://cdn.appdmbrands.com/products/HA220.jpg,in_stock,49.95 GBP,Remember,4260479650946,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Home Décor,adult,unisex,Red,,0.3 kg
HA240,Remember Bath towel 'Nesa' - Colourful German Design,"Nesa wraps you in Remember's signature joyful aesthetic, combining bold pattern with plush absorbency. A bath towel that refuses to blend into the background.",https://www.homeandverse.co.uk/?product=HA240,https://cdn.appdmbrands.com/products/HA240.jpg,in_stock,49.95 GBP,Remember,4260479651240,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Home Décor,adult,unisex,Multicolour,,0.3 kg
90042,Räder Big Nativity Set - German Porcelain Décor,"Handcrafted in fine German porcelain, this generous nativity set from Räder brings timeless wonder to your Christmas celebrations. Delicate figures glow with poetic simplicity, creating an atmospheric centrepiece.",https://www.homeandverse.co.uk/?product=90042,https://cdn.appdmbrands.com/products/90042.jpg,in_stock,59.99 GBP,Räder,,no,new,Home & Garden > Decor > Vases,Home & Garden > Home Decor > Christmas,adult,unisex,White,Porcelain,0.3 kg
18335,"Räder Birthday greetings 9,4x5,9x11,8cm - German Porcelain Décor","A delightful porcelain greeting from Räder measuring 9.4 x 5.9 x 11.8cm, this German-crafted piece turns birthday wishes into a lasting keepsake. Display it long after the celebration as a gentle reminder of cherished moments.",https://www.homeandverse.co.uk/?product=18335,https://cdn.appdmbrands.com/products/18335.jpg,in_stock,17.99 GBP,Räder,4045289183354,yes,new,Home & Garden > Decor > Vases,Home & Garden > Home Decor > Gifts > Home Décor,adult,unisex,White,Porcelain,0.3 kg
18331,Räder Birthday LED light surprise 5x5x5cm 2xLR44 - German Porcelain Décor,"Tucked inside this 5cm porcelain cube lies a gentle LED glow waiting to surprise the birthday celebrant. Battery-powered and beautifully crafted by Räder, it brings a moment of magic to any special occasion.",https://www.homeandverse.co.uk/?product=18331,https://cdn.appdmbrands.com/products/18331.jpg,in_stock,12.99 GBP,Räder,4045289183316,yes,new,Home & Garden > Decor > Vases,Home & Garden > Home Decor > Lighting,adult,unisex,Red,Porcelain,0.3 kg
BOC1,Remember Boccia - Colourful German Design,Bring bold German design to outdoor gatherings with this vibrant boccia set from Remember. Playful sophistication meets quality craftsmanship for garden games that spark joy and friendly competition.,https://www.homeandverse.co.uk/?product=BOC1,https://cdn.appdmbrands.com/products/BOC1.jpg,in_stock,49.90 GBP,Remember,4260479652483,yes,new,Toys & Games > Puzzles,Home & Garden > Home Decor > Gifts,adult,unisex,Multicolour,,0.3 kg
GT02,Remember Bottle Bag 'Ocean' - Colourful German Design,"Ocean-inspired patterns wrap this bottle bag in Remember's signature bold German style. A gift within a gift, it elevates wine presentation with vibrant, conversation-starting design.",https://www.homeandverse.co.uk/?product=GT02,https://cdn.appdmbrands.com/products/GT02.jpg,in_stock,16.90 GBP,Remember,4260479651806,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Gifts,adult,unisex,Red,,0.3 kg
FO02,Remember Bottle opener 'Bella' - Colourful German Design,"Meet Bella – a bottle opener with personality, wrapped in Remember's signature vibrant patterns. German-designed to bring a burst of colour and joy to every cork-popping moment.",https://www.homeandverse.co.uk/?product=FO02,https://cdn.appdmbrands.com/products/FO02.jpg,in_stock,9.90 GBP,Remember,4260479650380,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Gifts > Tableware,adult,unisex,Multicolour,,0.3 kg
FO03,Remember Bottle opener 'Mateo' - Colourful German Design,"Mateo brings bold German design to your drinks ritual, featuring Remember's signature colourful patterns. Far more than functional, this bottle opener sparks conversation before the first pour.",https://www.homeandverse.co.uk/?product=FO03,https://cdn.appdmbrands.com/products/FO03.jpg,in_stock,9.90 GBP,Remember,4260479650397,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Gifts > Tableware,adult,unisex,Multicolour,,0.3 kg
FO01,Remember Bottle opener 'Orlando' - Colourful German Design,Orlando combines practical bar essentials with Remember's unapologetically bold German design aesthetic. Vivid patterns transform a simple bottle opener into a joyful statement piece for entertaining.,https://www.homeandverse.co.uk/?product=FO01,https://cdn.appdmbrands.com/products/FO01.jpg,in_stock,9.90 GBP,Remember,4260479650373,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Gifts > Tableware,adult,unisex,Multicolour,,0.3 kg
FO05,Remember Bottle opener 'Rio' - Colourful German Design,"Bursting with Remember's signature colourful personality, Rio turns bottle opening into a celebratory moment. German-designed with playful sophistication, it's a gift that keeps on giving.",https://www.homeandverse.co.uk/?product=FO05,https://cdn.appdmbrands.com/products/FO05.jpg,in_stock,9.90 GBP,Remember,4260479652230,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Gifts > Tableware,adult,unisex,Multicolour,,0.3 kg
FO06,Remember Bottle opener 'Vektor' - Colourful German Design,"Geometric patterns define Vektor, Remember's bold take on the humble bottle opener. German-designed with vibrant, eye-catching detail, it brings artistic flair to your drinks cabinet.",https://www.homeandverse.co.uk/?product=FO06,https://cdn.appdmbrands.com/products/FO06.jpg,in_stock,9.90 GBP,Remember,4260479652247,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Gifts > Tableware,adult,unisex,Multicolour,,0.3 kg
PS01,"Remember Bowl set with wooden tray no. 1, set of 7 - Colourful German Design","Seven vibrant bowls nestle in a natural wooden tray, showcasing Remember's bold German approach to entertaining. Colourful, practical, and endlessly versatile for serving snacks, dips, or breakfast spreads.",https://www.homeandverse.co.uk/?product=PS01,https://cdn.appdmbrands.com/products/PS01.jpg,in_stock,49.90 GBP,Remember,4260608095464,yes,new,Home & Garden > Kitchen & Dining > Tableware > Serveware,Home & Garden > Home Decor > Home Décor > Tableware,adult,unisex,Natural,Wood,0.3 kg
PS03,"Remember Bowl set with wooden tray no. 3, set of 7 - Colourful German Design","Featuring Remember's distinctively playful palette, this seven-piece bowl set with wooden tray brings joyful German design to entertaining. Mix, match, and create vibrant tablescapes that spark conversation.",https://www.homeandverse.co.uk/?product=PS03,https://cdn.appdmbrands.com/products/PS03.jpg,in_stock,49.95 GBP,Remember,4260479650960,yes,new,Home & Garden > Kitchen & Dining > Tableware > Serveware,Home & Garden > Home Decor > Home Décor > Tableware,adult,unisex,Multicolour,Wood,0.3 kg
17463,Räder Bunny greetings - German Porcelain Décor,"Charming porcelain bunny greetings from Räder bring a touch of German craftsmanship to your spring celebrations. Each delicate piece captures the poetic, whimsical spirit that has defined this beloved design house since 1990.",https://www.homeandverse.co.uk/?product=17463,https://cdn.appdmbrands.com/products/17463.jpg,in_stock,17.95 GBP,Räder,4045289174635,yes,new,Home & Garden > Decor > Vases,Home & Garden > Home Decor > Gifts > Home Décor,adult,unisex,White,Porcelain,0.3 kg
17568,"Räder Cactus vase 12x6,5x15cm - German Porcelain Vase","Sculptural and unexpected, this porcelain cactus vase brings botanical charm without the need for watering. Standing 15cm tall with a 12cm width, the German-crafted design adds an artful, conversation-starting element to shelves and windowsills.",https://www.homeandverse.co.uk/?product=17568,https://cdn.appdmbrands.com/products/17568.jpg,in_stock,29.99 GBP,Räder,4045289175687,yes,new,Home & Garden > Decor > Vases,Home & Garden > Home Decor > Home Décor,adult,unisex,White,Porcelain,0.3 kg
17569,"Räder Cactus vase 15x7,5x20cm - German Porcelain Vase","A striking porcelain cactus vase measuring 20cm tall and 15cm wide makes a bold yet refined statement piece. Crafted by Räder in Germany, this sculptural vessel celebrates nature's forms in luminous white ceramic.",https://www.homeandverse.co.uk/?product=17569,https://cdn.appdmbrands.com/products/17569.jpg,in_stock,34.99 GBP,Räder,4045289175694,yes,new,Home & Garden > Decor > Vases,Home & Garden > Home Decor > Home Décor,adult,unisex,White,Porcelain,0.3 kg
17570,"Räder Cactus vase 8,5x6x15cm - German Porcelain Vase","Compact yet captivating, this 15cm tall porcelain cactus vase brings desert-inspired whimsy to intimate spaces. The delicate German craftsmanship from Räder transforms a playful silhouette into an elegant decorative accent.",https://www.homeandverse.co.uk/?product=17570,https://cdn.appdmbrands.com/products/17570.jpg,in_stock,29.99 GBP,Räder,4045289175700,yes,new,Home & Garden > Decor > Vases,Home & Garden > Home Decor > Home Décor,adult,unisex,Red,Porcelain,0.3 kg
KH61,Remember Candle holder 'Lucy' blue - Colourful German Design,"Bold blue curves define Lucy, a spirited candle holder that refuses to blend into the background. Remember's signature German design philosophy celebrates colour and joy, making every lit candle feel like a small celebration.",https://www.homeandverse.co.uk/?product=KH61,https://cdn.appdmbrands.com/products/KH61.jpg,in_stock,24.95 GBP,Remember,4260479652537,yes,new,Home & Garden > Decor > Candles,Home & Garden > Home Decor > Candles & Fragrance > Home Décor,adult,unisex,Blue,,0.3 kg
KH60,Remember Candle holder 'Lucy' red - Colourful German Design,"Vivid red brings confident energy to Lucy, a playfully sculptural candle holder from German design house Remember. Statement-making yet refined, it transforms candlelight into an expression of bold, joyful living.",https://www.homeandverse.co.uk/?product=KH60,https://cdn.appdmbrands.com/products/KH60.jpg,in_stock,24.95 GBP,Remember,4260479652520,yes,new,Home & Garden > Decor > Candles,Home & Garden > Home Decor > Candles & Fragrance > Home Décor,adult,unisex,Red,,0.3 kg
51544,"Räder Candle holder Rabbit Dia.8,6cm H.7cm - German Porcelain Décor","A delicate porcelain rabbit graces this charming 7cm tall candle holder, bringing springtime spirit to any season. Räder's German artistry creates a piece that feels both whimsical and elegantly understated at 8.6cm diameter.",https://www.homeandverse.co.uk/?product=51544,https://cdn.appdmbrands.com/products/51544.jpg,in_stock,24.99 GBP,Räder,4045289515445,yes,new,Home & Garden > Decor > Candles,Home & Garden > Home Decor > Candles & Fragrance > Home Décor,adult,unisex,White,Porcelain,0.3 kg
KH40,"Remember Candle Holder Set 'Pippo', set of 4 - Colourful German Design","Four vibrant holders in the Pippo set bring bold, joyful colour to your candlelit arrangements. Remember's signature German design celebrates playful sophistication, transforming an everyday table into a conversation-starting display.",https://www.homeandverse.co.uk/?product=KH40,https://cdn.appdmbrands.com/products/KH40.jpg,in_stock,29.95 GBP,Remember,4260608099264,yes,new,Home & Garden > Decor > Candles,Home & Garden > Home Decor > Candles & Fragrance > Home Décor,adult,unisex,Multicolour,,0.3 kg
51371,Räder Candlestick holders Carey - German Porcelain Décor,"Carey brings organic elegance to these porcelain candlestick holders from German design house Räder. Delicate patterning creates visual interest while maintaining the serene, poetic quality the brand is celebrated for.",https://www.homeandverse.co.uk/?product=51371,https://cdn.appdmbrands.com/products/51371.jpg,in_stock,14.99 GBP,Räder,4045289513717,yes,new,Home & Garden > Decor > Candles,Home & Garden > Home Decor > Candles & Fragrance > Home Décor,adult,unisex,White,Porcelain,0.3 kg
51369,Räder Candlestick holders Serena - German Porcelain Décor,"Serena lives up to her name in these tranquil porcelain candlestick holders from Räder. German craftsmanship creates pieces of quiet beauty, designed to bring calm and atmospheric warmth to your home.",https://www.homeandverse.co.uk/?product=51369,https://cdn.appdmbrands.com/products/51369.jpg,in_stock,14.99 GBP,Räder,4045289513694,yes,new,Home & Garden > Decor > Candles,Home & Garden > Home Decor > Candles & Fragrance > Home Décor,adult,unisex,White,Porcelain,0.3 kg
51372,Räder Candlestick holders Sunny - German Porcelain Décor,"Crafted by German design house Räder, these sunny candlestick holders bring warmth and poetry to any tablescape. Fine porcelain catches the light beautifully, creating an atmosphere that feels both magical and inviting.",https://www.homeandverse.co.uk/?product=51372,https://cdn.appdmbrands.com/products/51372.jpg,in_stock,14.99 GBP,Räder,4045289513724,yes,new,Home & Garden > Decor > Candles,Home & Garden > Home Decor > Candles & Fragrance > Home Décor,adult,unisex,White,Porcelain,0.3 kg
CT02,Remember Canvas bag 'Luca' - Colourful German Design,Meet Luca – a canvas bag bursting with Remember's trademark playful sophistication. Distinctive patterns and vibrant colours make this German-designed piece as much a style statement as a practical companion.,https://www.homeandverse.co.uk/?product=CT02,https://cdn.appdmbrands.com/products/CT02.jpg,in_stock,29.90 GBP,Remember,4260479650311,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Gifts,adult,unisex,Multicolour,,0.3 kg
CT01,Remember Canvas bag 'Toni' - Colourful German Design,"Toni brings Remember's bold German design philosophy to life in canvas form. Expect eye-catching patterns, joyful colours, and the kind of playful sophistication that sparks conversation wherever you go.",https://www.homeandverse.co.uk/?product=CT01,https://cdn.appdmbrands.com/products/CT01.jpg,in_stock,29.90 GBP,Remember,4260479650304,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Gifts,adult,unisex,Multicolour,,0.3 kg
18316,Räder Card Hello Baby - German Porcelain Décor,"Welcome a little one into the world with Räder's Hello Baby card, crafted with the German brand's signature warmth and delicate aesthetic. A keepsake greeting that speaks from the heart.",https://www.homeandverse.co.uk/?product=18316,https://cdn.appdmbrands.com/products/18316.jpg,in_stock,4.99 GBP,Räder,4045289183163,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Gifts,adult,unisex,White,Porcelain,0.3 kg
18309,Räder Card We belong together - German Porcelain Décor,"Räder's ""We Belong Together"" card captures the tender poetry of connection through beautiful German design. A heartfelt sentiment made tangible, crafted for moments that matter.",https://www.homeandverse.co.uk/?product=18309,https://cdn.appdmbrands.com/products/18309.jpg,in_stock,4.99 GBP,Räder,4045289183095,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Gifts,adult,unisex,White,Porcelain,0.3 kg
17471,Räder Chain. Bunny - German Porcelain Décor,"Delicate porcelain bunny pendants dance on this charming chain from Räder. German-crafted with the brand's signature poetic touch, it adds seasonal magic to windows and doorways alike.",https://www.homeandverse.co.uk/?product=17471,https://cdn.appdmbrands.com/products/17471.jpg,in_stock,12.95 GBP,Räder,4045289174710,yes,new,Home & Garden > Decor > Vases,Home & Garden > Home Decor > Home Décor,adult,unisex,White,Porcelain,0.3 kg
17470,Räder Chain. Circle - German Porcelain Décor,"Simple circles become something magical in this porcelain chain from Räder. Handcrafted in Germany with characteristic delicacy, it brings gentle movement and light to any space.",https://www.homeandverse.co.uk/?product=17470,https://cdn.appdmbrands.com/products/17470.jpg,in_stock,16.95 GBP,Räder,4045289174703,yes,new,Home & Garden > Decor > Vases,Home & Garden > Home Decor > Home Décor,adult,unisex,White,Porcelain,0.3 kg
WK03,"Remember Christmas baubles set ´Gloria', 4pcs - Colourful German Design",Gloria adds Remember's bold German flair to your festive tree with this set of four statement baubles. Vibrant colours and distinctive patterns transform holiday decorating into a celebration of design.,https://www.homeandverse.co.uk/?product=WK03,https://cdn.appdmbrands.com/products/WK03.jpg,in_stock,29.90 GBP,Remember,4260608099424,yes,new,Home & Garden > Decor > Seasonal & Holiday Decorations > Christmas Decorations,Home & Garden > Home Decor > Christmas,adult,unisex,Multicolour,,0.3 kg
51622,Räder Coaster 6er Set Sun Dia.9cm - German Porcelain Décor,"Sunshine radiates from this set of six porcelain coasters, each measuring 9cm in diameter. Räder's German craftsmanship brings warmth and beauty to protecting your favourite surfaces.",https://www.homeandverse.co.uk/?product=51622,https://cdn.appdmbrands.com/products/51622.jpg,in_stock,9.99 GBP,Räder,4045289516220,yes,new,Home & Garden > Decor > Vases,Home & Garden > Home Decor > Tableware,adult,unisex,White,Porcelain,0.3 kg
US10,"Remember Coaster set 'Ronda', set of 20 - Colourful German Design","Twenty unique coasters bring Remember's signature pattern play to your tabletop in the Ronda set. Bold German design meets practical entertaining, ensuring no two drinks look the same.",https://www.homeandverse.co.uk/?product=US10,https://cdn.appdmbrands.com/products/US10.jpg,in_stock,14.90 GBP,Remember,4260479653169,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Tableware,adult,unisex,Multicolour,,0.3 kg
51258,Räder Coasters Blinky - German Porcelain Décor,"Blinky coasters from Räder bring subtle German charm to your table setting. Fine porcelain craftsmanship meets whimsical design, protecting surfaces with characteristic poetic flair.",https://www.homeandverse.co.uk/?product=51258,https://cdn.appdmbrands.com/products/51258.jpg,in_stock,9.99 GBP,Räder,4045289512581,yes,new,Home & Garden > Decor > Vases,Home & Garden > Home Decor > Tableware,adult,unisex,White,Porcelain,0.3 kg
51256,Räder Coasters Carey - German Porcelain Décor,Carey coasters showcase Räder's mastery of understated German elegance. Each porcelain piece combines practical protection with the atmospheric beauty the brand is celebrated for.,https://www.homeandverse.co.uk/?product=51256,https://cdn.appdmbrands.com/products/51256.jpg,in_stock,9.99 GBP,Räder,4045289512567,yes,new,Home & Garden > Decor > Vases,Home & Garden > Home Decor > Tableware,adult,unisex,White,Porcelain,0.3 kg
51257,Räder Coasters Sunny - German Porcelain Décor,"Bright and cheerful, these Sunny coasters from Räder radiate warmth across your table. German craftsmanship meets joyful design in these quality ceramic pieces that celebrate life's lighter moments.",https://www.homeandverse.co.uk/?product=51257,https://cdn.appdmbrands.com/products/51257.jpg,in_stock,9.99 GBP,Räder,4045289512574,yes,new,Home & Garden > Decor > Vases,Home & Garden > Home Decor > Tableware,adult,unisex,White,Porcelain,0.3 kg
CC1,Remember Colour Curling - Colourful German Design,Bring the fun of winter curling indoors with this vibrant tabletop game from Remember. Bold German design and quality materials create an engaging activity that sparks laughter and friendly competition.,https://www.homeandverse.co.uk/?product=CC1,https://cdn.appdmbrands.com/products/CC1.jpg,in_stock,49.90 GBP,Remember,4260479651936,yes,new,Toys & Games > Puzzles,Home & Garden > Home Decor > Gifts,adult,unisex,Multicolour,,0.3 kg
BU22,Remember Cooler bag 'Bruno' - Colourful German Design,Meet Bruno – a cooler bag bursting with personality from German design house Remember. Distinctive patterns and quality construction keep refreshments chilled while making a bold style statement.,https://www.homeandverse.co.uk/?product=BU22,https://cdn.appdmbrands.com/products/BU22.jpg,in_stock,24.90 GBP,Remember,4260479650434,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Gifts,adult,unisex,Multicolour,,0.3 kg
BU21,Remember Cooler bag 'Nick' - Colourful German Design,Nick brings effortless cool to picnics and outings with Remember's signature bold aesthetic. Quality German engineering meets eye-catching design in this practical yet playful cooler bag.,https://www.homeandverse.co.uk/?product=BU21,https://cdn.appdmbrands.com/products/BU21.jpg,in_stock,24.90 GBP,Remember,4260479650427,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Gifts,adult,unisex,Multicolour,,0.3 kg
BU20,Remember Cooler bag 'Telli' - Colourful German Design,Telli showcases Remember's joyful approach to everyday essentials. Vibrant patterns and reliable insulation make this German-designed cooler bag a conversation starter at any gathering.,https://www.homeandverse.co.uk/?product=BU20,https://cdn.appdmbrands.com/products/BU20.jpg,in_stock,24.90 GBP,Remember,4260479650410,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Gifts,adult,unisex,Multicolour,,0.3 kg
18214,"Räder Cottage 14,8x9x16,5cm - German Porcelain Décor","Standing at 14.8cm wide, 9cm deep and 16.5cm tall, this porcelain cottage from Räder glows with atmospheric charm. German craftsmanship creates a magical light piece that transforms any room into a cosy retreat.",https://www.homeandverse.co.uk/?product=18214,https://cdn.appdmbrands.com/products/18214.jpg,in_stock,34.99 GBP,Räder,4045289182142,yes,new,Home & Garden > Decor > Vases,Home & Garden > Home Decor > Home Décor,adult,unisex,White,Porcelain,0.3 kg
BKM01,Remember Cotton cushion 'Barbados' - Colourful German Design,"Barbados brings bold, sun-soaked energy to your sofa with Remember's signature joyful aesthetic. Quality cotton construction meets vibrant German design in this statement-making cushion.",https://www.homeandverse.co.uk/?product=BKM01,https://cdn.appdmbrands.com/products/BKM01.jpg,in_stock,29.90 GBP,Remember,4260479651752,yes,new,Home & Garden > Linens & Bedding > Bedding > Blankets & Throws,Home & Garden > Home Decor > Home Décor,adult,unisex,Oak,Cotton,0.3 kg
BKL01,Remember Cotton cushion 'Belize' - Colourful German Design,"Embrace colour with Belize, a cotton cushion celebrating Remember's playful German design philosophy. Rich patterns and quality materials create an instant mood lift for any living space.",https://www.homeandverse.co.uk/?product=BKL01,https://cdn.appdmbrands.com/products/BKL01.jpg,in_stock,39.90 GBP,Remember,4260479651745,yes,new,Home & Garden > Linens & Bedding > Bedding > Blankets & Throws,Home & Garden > Home Decor > Home Décor,adult,unisex,Multicolour,Cotton,0.3 kg
BKS01,Remember Cotton cushion 'Grenada' - Colourful German Design,"Grenada captures tropical vibrancy in quality cotton, showcasing Remember's bold German design sensibility. Layer with complementary patterns or let this striking cushion stand alone as a focal point.",https://www.homeandverse.co.uk/?product=BKS01,https://cdn.appdmbrands.com/products/BKS01.jpg,in_stock,39.90 GBP,Remember,4260479651769,yes,new,Home & Garden > Linens & Bedding > Bedding > Blankets & Throws,Home & Garden > Home Decor > Home Décor,adult,unisex,Multicolour,Cotton,0.3 kg
BP06,Remember Cotton pillow 'Tahiti' - Colourful German Design,"Tahiti transports you to paradise with its vivid, joyful patterns from German design house Remember. Quality cotton and bold aesthetics combine in a pillow that celebrates colour without compromise.",https://www.homeandverse.co.uk/?product=BP06,https://cdn.appdmbrands.com/products/BP06.jpg,in_stock,14.95 GBP,Remember,4260479650144,yes,new,Home & Garden > Linens & Bedding > Bedding > Blankets & Throws,Home & Garden > Home Decor > Home Décor,adult,unisex,Multicolour,Cotton,0.3 kg
CRL08,"Remember Cotton rug 'Costa', long - Colourful German Design","Stretching across your floor in elongated form, Costa brings Remember's signature bold patterns underfoot. Quality cotton construction and vibrant German design transform hallways and living spaces into galleries of colour.",https://www.homeandverse.co.uk/?product=CRL08,https://cdn.appdmbrands.com/products/CRL08.jpg,in_stock,89.90 GBP,Remember,4260608095013,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Home Décor,adult,unisex,Multicolour,Cotton,0.3 kg
