id,title,description,link,image_link,availability,price,brand,gtin,condition,product_type,shipping_weight
FO03,Bottle opener 'Mateo' | Remember,"Mateo brings bold German design to your drinks ritual, featuring Remember's signature colourful patterns. Far more than functional, this bottle opener sparks conversation before the first pour.",https://www.homeandverse.co.uk/?product=FO03,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/FO03.jpg",in_stock,9.95 GBP,Remember,4260479650397,new,Home & Garden > Home Decor > Gifts > Tableware,0.5 kg
FO01,Bottle opener 'Orlando' | Remember,Orlando combines practical bar essentials with Remember's unapologetically bold German design aesthetic. Vivid patterns transform a simple bottle opener into a joyful statement piece for entertaining.,https://www.homeandverse.co.uk/?product=FO01,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/FO01.jpg",in_stock,9.95 GBP,Remember,4260479650373,new,Home & Garden > Home Decor > Gifts > Tableware,0.5 kg
FO05,Bottle opener 'Rio' | Remember,"Bursting with Remember's signature colourful personality, Rio turns bottle opening into a celebratory moment. German-designed with playful sophistication, it's a gift that keeps on giving.",https://www.homeandverse.co.uk/?product=FO05,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/FO05.jpg",in_stock,9.95 GBP,Remember,4260479652230,new,Home & Garden > Home Decor > Gifts > Tableware,0.5 kg
FO06,Bottle opener 'Vektor' | Remember,"Geometric patterns define Vektor, Remember's bold take on the humble bottle opener. German-designed with vibrant, eye-catching detail, it brings artistic flair to your drinks cabinet.",https://www.homeandverse.co.uk/?product=FO06,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/FO06.jpg",in_stock,9.95 GBP,Remember,4260479652247,new,Home & Garden > Home Decor > Gifts > Tableware,0.5 kg
PS01,"Bowl set with wooden tray no. 1, set of 7 | Remember","Seven vibrant bowls nestle in a natural wooden tray, showcasing Remember's bold German approach to entertaining. Colourful, practical, and endlessly versatile for serving snacks, dips, or breakfast spreads.",https://www.homeandverse.co.uk/?product=PS01,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/PS01.jpg",in_stock,49.95 GBP,Remember,4260608095464,new,Home & Garden > Home Decor > Home Décor > Tableware,0.5 kg
PS03,"Bowl set with wooden tray no. 3, set of 7 | Remember","Featuring Remember's distinctively playful palette, this seven-piece bowl set with wooden tray brings joyful German design to entertaining. Mix, match, and create vibrant tablescapes that spark conversation.",https://www.homeandverse.co.uk/?product=PS03,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/PS03.jpg",in_stock,49.95 GBP,Remember,4260479650960,new,Home & Garden > Home Decor > Home Décor > Tableware,0.5 kg
17463,Bunny greetings | Räder,"Charming porcelain bunny greetings from Räder bring a touch of German craftsmanship to your spring celebrations. Each delicate piece captures the poetic, whimsical spirit that has defined this beloved design house since 1990.",https://www.homeandverse.co.uk/?product=17463,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/17463.jpg",in_stock,17.95 GBP,Räder,4045289174635,new,Home & Garden > Home Decor > Gifts > Home Décor,0.5 kg
17568,"Cactus vase 12x6,5x15cm | Räder","Sculptural and unexpected, this porcelain cactus vase brings botanical charm without the need for watering. Standing 15cm tall with a 12cm width, the German-crafted design adds an artful, conversation-starting element to shelves and windowsills.",https://www.homeandverse.co.uk/?product=17568,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/17568.jpg",in_stock,29.95 GBP,Räder,4045289175687,new,Home & Garden > Home Decor > Home Décor,0.5 kg
17569,"Cactus vase 15x7,5x20cm | Räder","A striking porcelain cactus vase measuring 20cm tall and 15cm wide makes a bold yet refined statement piece. Crafted by Räder in Germany, this sculptural vessel celebrates nature's forms in luminous white ceramic.",https://www.homeandverse.co.uk/?product=17569,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/17569.jpg",in_stock,34.95 GBP,Räder,4045289175694,new,Home & Garden > Home Decor > Home Décor,0.5 kg
17570,"Cactus vase 8,5x6x15cm | Räder","Compact yet captivating, this 15cm tall porcelain cactus vase brings desert-inspired whimsy to intimate spaces. The delicate German craftsmanship from Räder transforms a playful silhouette into an elegant decorative accent.",https://www.homeandverse.co.uk/?product=17570,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/17570.jpg",in_stock,29.95 GBP,Räder,4045289175700,new,Home & Garden > Home Decor > Home Décor,0.5 kg
KH61,Candle holder 'Lucy' blue | Remember,"Bold blue curves define Lucy, a spirited candle holder that refuses to blend into the background. Remember's signature German design philosophy celebrates colour and joy, making every lit candle feel like a small celebration.",https://www.homeandverse.co.uk/?product=KH61,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/KH61.jpg",in_stock,24.95 GBP,Remember,4260479652537,new,Home & Garden > Home Decor > Candles & Fragrance > Home Décor,0.5 kg
KH60,Candle holder 'Lucy' red | Remember,"Vivid red brings confident energy to Lucy, a playfully sculptural candle holder from German design house Remember. Statement-making yet refined, it transforms candlelight into an expression of bold, joyful living.",https://www.homeandverse.co.uk/?product=KH60,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/KH60.jpg",in_stock,24.95 GBP,Remember,4260479652520,new,Home & Garden > Home Decor > Candles & Fragrance > Home Décor,0.5 kg
51544,"Candle holder Rabbit Dia.8,6cm H.7cm | Räder","A delicate porcelain rabbit graces this charming 7cm tall candle holder, bringing springtime spirit to any season. Räder's German artistry creates a piece that feels both whimsical and elegantly understated at 8.6cm diameter.",https://www.homeandverse.co.uk/?product=51544,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/51544.jpg",in_stock,24.95 GBP,Räder,4045289515445,new,Home & Garden > Home Decor > Candles & Fragrance > Home Décor,0.5 kg
KH40,"Candle Holder Set 'Pippo', set of 4 | Remember","Four vibrant holders in the Pippo set bring bold, joyful colour to your candlelit arrangements. Remember's signature German design celebrates playful sophistication, transforming an everyday table into a conversation-starting display.",https://www.homeandverse.co.uk/?product=KH40,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/KH40.jpg",in_stock,29.95 GBP,Remember,4260608099264,new,Home & Garden > Home Decor > Candles & Fragrance > Home Décor,0.5 kg
51371,Candlestick holders Carey | Räder,"Carey brings organic elegance to these porcelain candlestick holders from German design house Räder. Delicate patterning creates visual interest while maintaining the serene, poetic quality the brand is celebrated for.",https://www.homeandverse.co.uk/?product=51371,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/51371.jpg",in_stock,14.95 GBP,Räder,4045289513717,new,Home & Garden > Home Decor > Candles & Fragrance > Home Décor,0.5 kg
51369,Candlestick holders Serena | Räder,"Serena lives up to her name in these tranquil porcelain candlestick holders from Räder. German craftsmanship creates pieces of quiet beauty, designed to bring calm and atmospheric warmth to your home.",https://www.homeandverse.co.uk/?product=51369,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/51369.jpg",in_stock,14.95 GBP,Räder,4045289513694,new,Home & Garden > Home Decor > Candles & Fragrance > Home Décor,0.5 kg
51372,Candlestick holders Sunny | Räder,"Crafted by German design house Räder, these sunny candlestick holders bring warmth and poetry to any tablescape. Fine porcelain catches the light beautifully, creating an atmosphere that feels both magical and inviting.",https://www.homeandverse.co.uk/?product=51372,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/51372.jpg",in_stock,14.95 GBP,Räder,4045289513724,new,Home & Garden > Home Decor > Candles & Fragrance > Home Décor,0.5 kg
CT02,Canvas bag 'Luca' | Remember,Meet Luca – a canvas bag bursting with Remember's trademark playful sophistication. Distinctive patterns and vibrant colours make this German-designed piece as much a style statement as a practical companion.,https://www.homeandverse.co.uk/?product=CT02,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/CT02.jpg",in_stock,29.95 GBP,Remember,4260479650311,new,Home & Garden > Home Decor > Gifts,0.5 kg
CT01,Canvas bag 'Toni' | Remember,"Toni brings Remember's bold German design philosophy to life in canvas form. Expect eye-catching patterns, joyful colours, and the kind of playful sophistication that sparks conversation wherever you go.",https://www.homeandverse.co.uk/?product=CT01,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/CT01.jpg",in_stock,29.95 GBP,Remember,4260479650304,new,Home & Garden > Home Decor > Gifts,0.5 kg
18316,Card Hello Baby | Räder,"Welcome a little one into the world with Räder's Hello Baby card, crafted with the German brand's signature warmth and delicate aesthetic. A keepsake greeting that speaks from the heart.",https://www.homeandverse.co.uk/?product=18316,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/18316.jpg",in_stock,4.95 GBP,Räder,4045289183163,new,Home & Garden > Home Decor > Gifts,0.5 kg
18309,Card We belong together | Räder,"Räder's ""We Belong Together"" card captures the tender poetry of connection through beautiful German design. A heartfelt sentiment made tangible, crafted for moments that matter.",https://www.homeandverse.co.uk/?product=18309,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/18309.jpg",in_stock,4.95 GBP,Räder,4045289183095,new,Home & Garden > Home Decor > Gifts,0.5 kg
17471,Chain. Bunny | Räder,"Delicate porcelain bunny pendants dance on this charming chain from Räder. German-crafted with the brand's signature poetic touch, it adds seasonal magic to windows and doorways alike.",https://www.homeandverse.co.uk/?product=17471,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/17471.jpg",in_stock,12.95 GBP,Räder,4045289174710,new,Home & Garden > Home Decor > Home Décor,0.5 kg
17470,Chain. Circle | Räder,"Simple circles become something magical in this porcelain chain from Räder. Handcrafted in Germany with characteristic delicacy, it brings gentle movement and light to any space.",https://www.homeandverse.co.uk/?product=17470,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/17470.jpg",in_stock,16.95 GBP,Räder,4045289174703,new,Home & Garden > Home Decor > Home Décor,0.5 kg
WK03,"Christmas baubles set ´Gloria', 4pcs | Remember",Gloria adds Remember's bold German flair to your festive tree with this set of four statement baubles. Vibrant colours and distinctive patterns transform holiday decorating into a celebration of design.,https://www.homeandverse.co.uk/?product=WK03,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/WK03.jpg",in_stock,29.95 GBP,Remember,4260608099424,new,Home & Garden > Home Decor > Christmas,0.5 kg
51622,Coaster 6er Set Sun Dia.9cm | Räder,"Sunshine radiates from this set of six porcelain coasters, each measuring 9cm in diameter. Räder's German craftsmanship brings warmth and beauty to protecting your favourite surfaces.",https://www.homeandverse.co.uk/?product=51622,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/51622.jpg",in_stock,9.95 GBP,Räder,4045289516220,new,Home & Garden > Home Decor > Tableware,0.5 kg
US10,"Coaster set 'Ronda', set of 20 | Remember","Twenty unique coasters bring Remember's signature pattern play to your tabletop in the Ronda set. Bold German design meets practical entertaining, ensuring no two drinks look the same.",https://www.homeandverse.co.uk/?product=US10,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/US10.jpg",in_stock,14.95 GBP,Remember,4260479653169,new,Home & Garden > Home Decor > Tableware,0.5 kg
51258,Coasters Blinky | Räder,"Blinky coasters from Räder bring subtle German charm to your table setting. Fine porcelain craftsmanship meets whimsical design, protecting surfaces with characteristic poetic flair.",https://www.homeandverse.co.uk/?product=51258,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/51258.jpg",in_stock,9.95 GBP,Räder,4045289512581,new,Home & Garden > Home Decor > Tableware,0.5 kg
51256,Coasters Carey | Räder,Carey coasters showcase Räder's mastery of understated German elegance. Each porcelain piece combines practical protection with the atmospheric beauty the brand is celebrated for.,https://www.homeandverse.co.uk/?product=51256,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/51256.jpg",in_stock,9.95 GBP,Räder,4045289512567,new,Home & Garden > Home Decor > Tableware,0.5 kg
51257,Coasters Sunny | Räder,"Bright and cheerful, these Sunny coasters from Räder radiate warmth across your table. German craftsmanship meets joyful design in these quality ceramic pieces that celebrate life's lighter moments.",https://www.homeandverse.co.uk/?product=51257,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/51257.jpg",in_stock,9.95 GBP,Räder,4045289512574,new,Home & Garden > Home Decor > Tableware,0.5 kg
CC1,Colour Curling | Remember,Bring the fun of winter curling indoors with this vibrant tabletop game from Remember. Bold German design and quality materials create an engaging activity that sparks laughter and friendly competition.,https://www.homeandverse.co.uk/?product=CC1,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/CC1.jpg",in_stock,49.95 GBP,Remember,4260479651936,new,Home & Garden > Home Decor > Gifts,0.5 kg
BU22,Cooler bag 'Bruno' | Remember,Meet Bruno – a cooler bag bursting with personality from German design house Remember. Distinctive patterns and quality construction keep refreshments chilled while making a bold style statement.,https://www.homeandverse.co.uk/?product=BU22,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/BU22.jpg",in_stock,24.95 GBP,Remember,4260479650434,new,Home & Garden > Home Decor > Gifts,0.5 kg
BU21,Cooler bag 'Nick' | Remember,Nick brings effortless cool to picnics and outings with Remember's signature bold aesthetic. Quality German engineering meets eye-catching design in this practical yet playful cooler bag.,https://www.homeandverse.co.uk/?product=BU21,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/BU21.jpg",in_stock,24.95 GBP,Remember,4260479650427,new,Home & Garden > Home Decor > Gifts,0.5 kg
BU20,Cooler bag 'Telli' | Remember,Telli showcases Remember's joyful approach to everyday essentials. Vibrant patterns and reliable insulation make this German-designed cooler bag a conversation starter at any gathering.,https://www.homeandverse.co.uk/?product=BU20,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/BU20.jpg",in_stock,24.95 GBP,Remember,4260479650410,new,Home & Garden > Home Decor > Gifts,0.5 kg
18214,"Cottage 14,8x9x16,5cm | Räder","Standing at 14.8cm wide, 9cm deep and 16.5cm tall, this porcelain cottage from Räder glows with atmospheric charm. German craftsmanship creates a magical light piece that transforms any room into a cosy retreat.",https://www.homeandverse.co.uk/?product=18214,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/18214.jpg",in_stock,34.95 GBP,Räder,4045289182142,new,Home & Garden > Home Decor > Home Décor,0.5 kg
BKM01,Cotton cushion 'Barbados' | Remember,"Barbados brings bold, sun-soaked energy to your sofa with Remember's signature joyful aesthetic. Quality cotton construction meets vibrant German design in this statement-making cushion.",https://www.homeandverse.co.uk/?product=BKM01,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/BKM01.jpg",in_stock,29.95 GBP,Remember,4260479651752,new,Home & Garden > Home Decor > Home Décor,0.5 kg
BKL01,Cotton cushion 'Belize' | Remember,"Embrace colour with Belize, a cotton cushion celebrating Remember's playful German design philosophy. Rich patterns and quality materials create an instant mood lift for any living space.",https://www.homeandverse.co.uk/?product=BKL01,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/BKL01.jpg",in_stock,39.95 GBP,Remember,4260479651745,new,Home & Garden > Home Decor > Home Décor,0.5 kg
BKS01,Cotton cushion 'Grenada' | Remember,"Grenada captures tropical vibrancy in quality cotton, showcasing Remember's bold German design sensibility. Layer with complementary patterns or let this striking cushion stand alone as a focal point.",https://www.homeandverse.co.uk/?product=BKS01,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/BKS01.jpg",in_stock,39.95 GBP,Remember,4260479651769,new,Home & Garden > Home Decor > Home Décor,0.5 kg
BP06,Cotton pillow 'Tahiti' | Remember,"Tahiti transports you to paradise with its vivid, joyful patterns from German design house Remember. Quality cotton and bold aesthetics combine in a pillow that celebrates colour without compromise.",https://www.homeandverse.co.uk/?product=BP06,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/BP06.jpg",in_stock,14.95 GBP,Remember,4260479650144,new,Home & Garden > Home Decor > Home Décor,0.5 kg
CRL08,"Cotton rug 'Costa', long | Remember","Stretching across your floor in elongated form, Costa brings Remember's signature bold patterns underfoot. Quality cotton construction and vibrant German design transform hallways and living spaces into galleries of colour.",https://www.homeandverse.co.uk/?product=CRL08,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/CRL08.jpg",in_stock,89.95 GBP,Remember,4260608095013,new,Home & Garden > Home Decor > Home Décor,0.5 kg
18213,Country house h�uschen 10x7x13cm | Räder,"Delicate porcelain crafted by Räder captures the charm of a countryside retreat in miniature form. Standing 13cm tall, this luminous häuschen creates an enchanting glow that brings warmth to windowsills and shelves alike.",https://www.homeandverse.co.uk/?product=18213,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/18213.jpg",in_stock,21.95 GBP,Räder,4045289182135,new,Home & Garden > Home Decor > Home Décor,0.5 kg
KKS01,Cuddle pillow 'Anteater Edgar' | Remember,"Edgar the anteater brings whimsy and warmth to any space with Remember's signature playful spirit. Crafted in Germany with quality materials, this characterful cuddle pillow adds a joyful touch to sofas, beds, and reading nooks.",https://www.homeandverse.co.uk/?product=KKS01,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/KKS01.jpg",in_stock,39.95 GBP,Remember,4260479653183,new,Home & Garden > Home Decor > Home Décor,0.5 kg
KKS03,Cuddle pillow 'Caterpillar Frieda' | Remember,"Frieda the caterpillar brings a splash of colour and character to cuddle time. Designed by Remember in Germany, this playful pillow combines bold design with irresistible softness for little ones and the young at heart.",https://www.homeandverse.co.uk/?product=KKS03,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/KKS03.jpg",in_stock,39.95 GBP,Remember,4260479653206,new,Home & Garden > Home Decor > Home Décor,0.5 kg
KKS02,Cuddle pillow 'Crocodile Karl' | Remember,"Karl the crocodile makes a wonderfully unexpected addition to your soft furnishing collection. Crafted with Remember's signature boldness, this cheerful German-designed cuddle pillow brings personality and playfulness to any room.",https://www.homeandverse.co.uk/?product=KKS02,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/KKS02.jpg",in_stock,39.95 GBP,Remember,4260479653190,new,Home & Garden > Home Decor > Home Décor,0.5 kg
51451,Cup Carey | Räder,"Crafted from fine German porcelain, Carey brings quiet elegance to your daily ritual. Räder's poetic design sensibility shines through in every sip, making ordinary moments feel a little more special.",https://www.homeandverse.co.uk/?product=51451,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/51451.jpg",in_stock,24.95 GBP,Räder,4045289514516,new,Home & Garden > Home Decor > Tableware,0.5 kg
